x,v,t
0,0.00700853,7.54634
0,0.0156289,7.68293
0,0.101617,7.83947
0,0.240522,8.00474
0,0.334482,8.19707
0,0.417198,8.35142
0,0.60735,8.51481
0,0.691549,8.68064
0.1,0.896636,8.86031
0.2,1.00864,9.03931
0.3,1.12131,9.21823
0.4,1.27017,9.38475
0.6,1.38028,9.60772
0.7,1.45609,9.79917
0.8,1.54691,10.0027
1,1.76264,10.1915
1.2,1.87101,10.3754
1.3,1.99988,10.6025
1.6,2.13278,10.817
1.8,2.16278,11.0468
2.1,2.33671,11.259
2.3,2.40117,11.451
2.5,2.48427,11.6433
2.7,2.56802,11.8675
3,2.6804,12.0633
3.2,2.82986,12.271
3.5,2.95449,12.4915
3.8,3.14043,12.7132
4.2,3.2137,13.0357
4.5,3.31733,13.2297
4.8,3.40102,13.4115
5.1,3.49114,13.6267
5.4,3.53936,13.8234
5.7,3.61271,14.0328
6,3.63689,14.2566
6.5,3.77017,14.463
6.7,3.80425,14.6339
6.9,3.90305,14.8535
7.2,4.03145,15.0853
7.5,4.20646,15.287
8,4.29404,15.4884
8.3,4.37405,15.664
8.8,4.51605,15.8968
9.2,4.5653,16.166
9.9,4.74767,16.4198
10.4,4.77296,16.7266
10.9,4.83292,17.0268
11.5,4.83791,17.3326
12.1,4.95755,17.6068
12.9,4.94565,18.0614
13.6,5.02371,18.3804
14,5.01335,18.6014
14.2,5.02555,18.7746
14.8,5.08758,19.0055
15.3,5.06886,19.2198
15.9,5.13141,19.4825
16.6,5.14136,19.8037
17,5.29572,20.0318
17.4,5.4253,20.2405
18.1,5.5914,20.5244
19,5.69244,20.8058
19.4,5.75821,21.0306
20.4,5.84363,21.305
20.9,5.91229,21.5606
21.7,5.96965,21.8057
22.7,6.05014,22.2158
23.3,6.06335,22.4537
23.9,6.06881,22.7076
24.7,5.70745,22.9639
25.2,5.45867,23.2243
25.8,6.01557,23.4637
26.4,6.16423,23.7085
26.9,5.74523,23.9455
27.7,6.26629,24.2348
28.3,6.14665,24.5429
29.5,6.45749,24.851
30.6,6.49751,25.2734
31.1,6.45401,25.4877
31.7,6.66885,25.7201
32.6,6.52136,26.0352
33.4,6.86082,26.3689
34.1,6.44155,26.652
34.8,6.79345,26.9451
35.7,6.45839,27.3015
36.5,6.85867,27.5844
36.9,6.57456,27.8431
37.7,6.84202,28.0838
38.4,6.8312,28.3205
38.9,6.98545,28.5521
40.1,6.96334,28.806
40.9,7.19361,29.0753
41.8,7.01859,29.3451
42.3,7.23874,29.5802
43.1,7.06663,29.8656
44.2,7.44887,30.1497
45.1,6.95634,30.3992
45.7,7.24619,30.6203
46.7001,6.88587,30.9285
47.6001,7.29266,31.2069
48.3002,6.82541,31.4978
49.2002,7.21455,31.7398
50.1003,7.00113,32.0488
51.1003,7.44659,32.3503
52.0003,6.97017,32.6107
52.9004,7.30282,32.8952
53.9003,6.87349,33.1811
55.0003,7.41124,33.4528
55.7002,7.05529,33.7814
56.6001,7.35243,34.0815
57.3,7.18718,34.3303
58.0998,7.49033,34.5853
59.1995,7.37823,34.8995
60.2993,7.6116,35.1945
61.0991,7.32116,35.4515
62.4989,7.71634,35.8458
63.2988,7.35439,36.1381
64.1987,7.69235,36.4419
65.2987,7.27076,36.7007
66.4989,7.78838,37.0049
67.4993,7.39316,37.2664
68.3998,7.4014,37.5438
69.6007,7.31876,37.823
70.5016,7.4711,38.136
71.5027,7.29632,38.4492
72.3038,7.57866,38.7225
73.205,7.1267,39.0027
74.4068,7.71852,39.2971
75.4083,6.95185,39.5501
76.2094,7.3524,39.8397
77.1107,7.098,40.1012
78.0118,7.53228,40.3849
78.9129,7.12193,40.6657
79.9138,7.56489,40.9289
81.1147,7.08617,41.2299
82.2152,7.61055,41.5154
83.1154,6.90609,41.7297
83.8154,7.1531,41.9727
84.6153,7.44333,42.172
85.1152,7.43158,42.3822
86.0149,7.4576,42.6868
87.1144,7.2182,42.9606
88.0139,7.59442,43.1914
88.7136,7.26144,43.3872
89.5134,7.5456,43.6368
90.5133,7.09683,43.8724
91.2134,7.47088,44.1339
92.1141,7.11106,44.3442
93.1153,7.53242,44.6435
94.117,7.03327,45.0059
95.0185,7.48302,45.269
96.2202,6.77469,45.5467
97.0208,7.22983,45.8456
98.0205,7.01633,46.1177
98.6196,7.35108,46.3605
99.6166,7.12549,46.6115
100.512,7.58422,46.8347
101.306,7.361,47.1114
102.297,7.56922,47.4349
103.483,7.55289,47.7182
104.075,7.651,47.9436
105.061,7.58831,48.2262
106.045,7.54417,48.4865
107.028,7.58592,48.8281
108.403,7.43576,49.1261
109.482,7.40774,49.4037
110.561,7.60738,49.6964
111.639,7.29021,49.9624
112.717,7.823,50.2653
113.698,7.2471,50.526
114.778,7.65772,50.8295
116.35,7.22905,51.2734
117.235,7.67542,51.5636
118.615,7.08583,51.856
119.504,7.51654,52.1651
120.79,7.06858,52.4357
121.982,7.70114,52.8011
123.077,6.97902,53.1034
123.876,7.42752,53.4254
125.379,7.15297,53.7178
126.083,7.35074,53.9818
127.294,6.82665,54.3002
128.207,7.31493,54.6482
129.429,7.08204,55.0415
130.35,7.35134,55.4168
131.275,7.08556,55.6672
131.79,7.28455,55.9262
132.93,6.89003,56.2316
134.39,7.67182,56.6167
135.651,6.74359,56.9811
136.815,7.34564,57.348
137.881,7.10627,57.7232
139.061,7.4856,58.0809
140.358,6.72784,58.433
141.772,7.4851,58.8201
142.756,6.91927,59.1394
143.854,7.53249,59.5207
145.176,7.20683,59.8828
146.171,7.69783,60.2267
147.611,7.3881,60.5719
148.61,7.83444,60.91
149.833,7.25632,61.1981
151.167,7.90698,61.6393
152.612,7.32037,62.0219
154.166,7.98783,62.4372
155.385,7.13775,62.8063
156.601,7.71641,63.1096
158.032,6.59705,63.4712
159.019,7.07421,63.8461
160.003,7.39301,64.1574
161.416,7.4113,64.4892
162.82,7.6,64.8593
164.32,7.29668,65.2083
165.701,7.58807,65.5692
166.859,7.18225,65.9447
167.8,7.67626,66.2992
168.941,7.15189,66.6448
170.174,7.73658,66.9927
171.597,6.9603,67.3563
173.5,7.87292,67.8051
175.077,7.01225,68.1931
175.857,7.38307,68.4955
176.728,7.15556,68.7556
177.688,7.54404,69.1101
179.018,7.18207,69.481
180.24,7.74833,69.8473
181.266,7.09407,70.145
182.1,7.53294,70.43
183.389,6.89952,70.7849
184.671,7.41591,71.1077
185.494,6.94323,71.4402
186.955,7.48467,71.8134
187.962,7.15442,72.1358
189.066,7.61463,72.5018
190.178,6.96866,72.7625
191.114,6.02272,73.0019
191.965,5.81912,73.3184
192.824,5.47258,73.6429
193.594,4.91895,73.8681
194.08,4.73423,74.1247
194.666,4.41279,74.3803
195.256,4.01256,74.6638
195.651,3.77755,74.8853
196.347,3.71247,75.2427
196.848,3.42489,75.5018
197.149,3.04759,75.8265
197.552,2.82623,76.0689
197.957,2.72655,76.3433
198.16,2.57399,76.6121
198.566,3.08781,76.8839
198.974,3.52135,77.1475
199.588,3.11085,77.4024
199.999,2.62087,77.761
200.411,2.13332,78.0357
200.515,1.83885,78.2736
200.824,1.62801,78.5777
201.135,1.94703,78.9118
201.446,1.68059,79.1746
201.653,1.09285,79.4643
201.757,1.12991,79.7749
201.965,1.03358,80.1048
202.172,0.981163,80.3654
202.172,0.894169,80.5958
202.381,1.35046,80.9007
202.589,1.05433,81.1624
202.693,0.428612,81.4082
202.797,0.501212,81.6388
202.901,1.0397,81.91
203.006,0.46804,82.2505
203.11,0.358959,82.6017
203.11,0.292796,82.9372
203.214,0.507879,83.2631
203.214,0.0375667,83.538
203.214,0.417119,83.7992
203.319,0.143355,84.0276
203.319,0.221863,84.2693
203.319,0.351715,84.4908
203.423,0.544388,84.7728
203.423,0.0651932,85.0177
203.423,0.0981089,85.2215
203.527,0.401228,85.4788
203.527,0.15829,85.7448
